To: ondra.losi2@gmail.com | Status: OK | send In: 0.63 s | 2023-11-04 12:50:51
To: ondra.losi2@gmail.com | Status: OK | send In: 0.42 s | 2023-11-04 12:55:25
To: ondra.losi2@gmail.com | Status: OK | send In: 0.46 s | 2023-11-04 12:55:26
To: ondra.losi2@gmail.com | Status: OK | send In: 0.44 s | 2023-11-04 12:55:26
To: ondra.losi2@gmail.com | Status: OK | send In: 0.41 s | 2023-11-04 12:55:27
To: ondra.losi2@gmail.com | Status: OK | send In: 0.45 s | 2023-11-04 12:55:27
To: ondra.losi2@gmail.com | Status: OK | send In: 0.37 s | 2023-11-04 12:55:28
To: ondra.losi2@gmail.com | Status: OK | send In: 0.81 s | 2023-11-04 12:55:28
To: ondra.losi2@gmail.com | Status: OK | send In: 0.45 s | 2023-11-04 12:55:29
To: ondra.losi2@gmail.com | Status: OK | send In: 0.40 s | 2023-11-04 12:55:29
To: ondra.losi2@gmail.com | Status: OK | send In: 0.48 s | 2023-11-04 12:55:30
To: ondra.losi2@gmail.com | Status: OK | send In: 1.35 s | 2023-11-04 12:55:31
To: ondra.losi2@gmail.com | Status: OK | send In: 0.41 s | 2023-11-04 12:55:31
To: ondra.losi2@gmail.com | Status: OK | send In: 0.46 s | 2023-11-04 12:55:32
To: ondra.losi2@gmail.com | Status: OK | send In: 0.40 s | 2023-11-04 12:55:32
To: ondra.losi2@gmail.com | Status: OK | send In: 0.41 s | 2023-11-04 12:55:33
To: ondra.losi2@gmail.com | Status: OK | send In: 0.54 s | 2023-11-04 12:55:33
To: ondra.losi2@gmail.com | Status: OK | send In: 0.40 s | 2023-11-04 12:55:34
To: ondra.losi2@gmail.com | Status: OK | send In: 0.80 s | 2023-11-04 12:55:34
To: ondra.losi2@gmail.com | Status: OK | send In: 0.75 s | 2023-11-04 12:55:35
To: ondra.losi2@gmail.com | Status: OK | send In: 0.92 s | 2023-11-04 12:55:36
To: ondra.losi2@gmail.com | Status: OK | send In: 0.47 s | 2023-11-04 12:55:37
To: ondra.losi2@gmail.com | Status: OK | send In: 0.60 s | 2023-11-04 12:55:37
To: ondra.losi2@gmail.com | Status: OK | send In: 0.79 s | 2023-11-04 12:55:38
To: ondra.losi2@gmail.com | Status: OK | send In: 0.52 s | 2023-11-04 12:55:38
To: ondra.losi2@gmail.com | Status: OK | send In: 0.99 s | 2023-11-04 12:55:39
To: ondra.losi2@gmail.com | Status: OK | send In: 0.47 s | 2023-11-04 12:55:40
To: ondra.losi2@gmail.com | Status: OK | send In: 0.39 s | 2023-11-04 12:55:40
To: ondra.losi2@gmail.com | Status: OK | send In: 0.72 s | 2023-11-04 12:55:41
To: ondra.losi2@gmail.com | Status: OK | send In: 0.71 s | 2023-11-04 12:55:42
To: ondra.losi2@gmail.com | Status: OK | send In: 0.44 s | 2023-11-04 12:55:42
To: ondra.losi2@gmail.com | Status: OK | send In: 0.43 s | 2023-11-04 12:55:43
To: ondra.losi2@gmail.com | Status: OK | send In: 0.57 s | 2023-11-04 12:55:43
To: ondra.losi2@gmail.com | Status: OK | send In: 0.77 s | 2023-11-04 12:55:44
To: ondra.losi2@gmail.com | Status: OK | send In: 0.90 s | 2023-11-04 12:55:45
To: ondra.losi2@gmail.com | Status: OK | send In: 0.80 s | 2023-11-04 12:55:46
To: ondra.losi2@gmail.com | Status: OK | send In: 0.89 s | 2023-11-04 12:55:47
To: ondra.losi2@gmail.com | Status: OK | send In: 0.68 s | 2023-11-04 12:55:47
To: ondra.losi2@gmail.com | Status: OK | send In: 0.41 s | 2023-11-04 12:55:48
To: ondra.losi2@gmail.com | Status: OK | send In: 0.79 s | 2023-11-04 12:55:48
To: ondra.losi2@gmail.com | Status: OK | send In: 0.79 s | 2023-11-04 12:55:49
To: ondra.losi2@gmail.com | Status: OK | send In: 0.83 s | 2023-11-04 12:55:50
To: ondra.losi2@gmail.com | Status: OK | send In: 0.80 s | 2023-11-04 12:55:51
To: ondra.losi2@gmail.com | Status: OK | send In: 0.93 s | 2023-11-04 12:55:52
To: ondra.losi2@gmail.com | Status: OK | send In: 0.87 s | 2023-11-04 12:55:53
To: ondra.losi2@gmail.com | Status: OK | send In: 0.75 s | 2023-11-04 12:55:53
To: ondra.losi2@gmail.com | Status: OK | send In: 0.50 s | 2023-11-04 12:55:54
To: ondra.losi2@gmail.com | Status: OK | send In: 0.86 s | 2023-11-04 13:05:30
To: ondra.losi2@gmail.com | Status: OK | send In: 0.81 s | 2023-11-04 13:05:31
To: ondra.losi2@gmail.com | Status: OK | send In: 0.68 s | 2023-11-04 13:05:32
To: ondra.losi2@gmail.com | Status: OK | send In: 0.76 s | 2023-11-04 13:05:33
To: ondra.losi2@gmail.com | Status: OK | send In: 0.97 s | 2023-11-04 13:05:34
To: ondra.losi2@gmail.com | Status: OK | send In: 2.02 s | 2023-11-04 13:14:41
To: ondra.losi2@gmail.com | Status: OK | send In: 0.82 s | 2023-11-04 13:14:42
To: ondra.losi2@gmail.com | Status: OK | send In: 0.73 s | 2023-11-04 13:14:43
To: ondra.losi2@gmail.com | Status: OK | send In: 1.01 s | 2023-11-04 13:14:44
To: ondra.losi2@gmail.com | Status: OK | send In: 0.88 s | 2023-11-04 13:14:44
To: ondra.losi2@gmail.com | Status: OK | send In: 0.90 s | 2023-11-04 13:22:32
To: ondra.losi2@gmail.com | Status: OK | send In: 1.09 s | 2023-11-04 13:22:33
To: ondra.losi2@gmail.com | Status: OK | send In: 0.97 s | 2023-11-04 13:22:34
To: ondra.losi2@gmail.com | Status: OK | send In: 1.13 s | 2023-11-04 13:22:35
To: ondra.losi2@gmail.com | Status: OK | send In: 1.01 s | 2023-11-04 13:22:36
To: ondra.losi2@gmail.com | Status: OK | send In: 0.83 s | 2023-11-04 13:22:47
To: ondra.losi2@gmail.com | Status: OK | send In: 0.99 s | 2023-11-04 13:22:48
To: ondra.losi2@gmail.com | Status: OK | send In: 1.30 s | 2023-11-04 13:22:49
To: ondra.losi2@gmail.com | Status: OK | send In: 0.86 s | 2023-11-04 13:22:50
To: ondra.losi2@gmail.com | Status: OK | send In: 0.85 s | 2023-11-04 13:22:51
To: ondra.losi2@gmail.com | Status: OK | send In: 0.98 s | 2023-11-04 13:23:02
To: ondra.losi2@gmail.com | Status: OK | send In: 0.90 s | 2023-11-04 13:23:03
To: ondra.losi2@gmail.com | Status: OK | send In: 1.24 s | 2023-11-04 13:23:04
To: ondra.losi2@gmail.com | Status: OK | send In: 1.03 s | 2023-11-04 13:23:05
To: ondra.losi2@gmail.com | Status: OK | send In: 0.82 s | 2023-11-04 13:23:06
To: ondra.losi2@gmail.com | Status: OK | send In: 0.93 s | 2023-11-04 13:23:17
To: ondra.losi2@gmail.com | Status: OK | send In: 0.87 s | 2023-11-04 13:23:18
To: ondra.losi2@gmail.com | Status: OK | send In: 1.01 s | 2023-11-04 13:23:19
To: ondra.losi2@gmail.com | Status: OK | send In: 1.21 s | 2023-11-04 13:23:20
To: ondra.losi2@gmail.com | Status: OK | send In: 1.14 s | 2023-11-04 13:23:21
To: ondra.losi2@gmail.com | Status: OK | send In: 0.84 s | 2023-11-04 13:23:32
To: ondra.losi2@gmail.com | Status: OK | send In: 0.92 s | 2023-11-04 13:23:33
To: ondra.losi2@gmail.com | Status: OK | send In: 0.94 s | 2023-11-04 13:23:34
To: ondra.losi2@gmail.com | Status: OK | send In: 0.90 s | 2023-11-04 13:23:35
To: ondra.losi2@gmail.com | Status: OK | send In: 0.93 s | 2023-11-04 13:23:36
To: ondra.losi2@gmail.com | Status: OK | send In: 0.69 s | 2023-11-04 13:23:47
To: ondra.losi2@gmail.com | Status: OK | send In: 0.72 s | 2023-11-04 13:23:47
To: ondra.losi2@gmail.com | Status: OK | send In: 0.72 s | 2023-11-04 13:23:48
To: ondra.losi2@gmail.com | Status: OK | send In: 0.87 s | 2023-11-04 13:23:49
To: ondra.losi2@gmail.com | Status: OK | send In: 1.62 s | 2023-11-04 13:23:50
To: ondra.losi2@gmail.com | Status: OK | send In: 0.77 s | 2023-11-04 13:39:54
To: ondra.losi2@gmail.com | Status: OK | send In: 0.77 s | 2023-11-04 13:39:55
To: ondra.losi2@gmail.com | Status: OK | send In: 0.68 s | 2023-11-04 13:39:56
To: ondra.losi2@gmail.com | Status: OK | send In: 0.91 s | 2023-11-04 13:39:57
To: ondra.losi2@gmail.com | Status: OK | send In: 0.79 s | 2023-11-04 13:39:57
To: ondra.losi2@gmail.com | Status: OK | send In: 0.84 s | 2023-11-04 13:39:58
To: ondra.losi2@gmail.com | Status: OK | send In: 1.03 s | 2023-11-04 13:39:59
To: ondra.losi2@gmail.com | Status: OK | send In: 0.82 s | 2023-11-04 13:40:00
To: ondra.losi2@gmail.com | Status: OK | send In: 0.72 s | 2023-11-04 13:40:01
To: ondra.losi2@gmail.com | Status: OK | send In: 1.13 s | 2023-11-04 13:40:02
To: ondra.losi2@gmail.com | Status: OK | send In: 0.72 s | 2023-11-04 13:40:03
To: ondra.losi2@gmail.com | Status: OK | send In: 0.99 s | 2023-11-04 13:40:04
To: ondra.losi2@gmail.com | Status: OK | send In: 0.75 s | 2023-11-04 13:40:04
To: ondra.losi2@gmail.com | Status: OK | send In: 0.82 s | 2023-11-04 13:40:05
To: ondra.losi2@gmail.com | Status: OK | send In: 0.82 s | 2023-11-04 13:40:06
To: ondra.losi2@gmail.com | Status: OK | send In: 0.82 s | 2023-11-04 13:40:07
To: ondra.losi2@gmail.com | Status: OK | send In: 0.82 s | 2023-11-04 13:40:08
To: ondra.losi2@gmail.com | Status: OK | send In: 0.75 s | 2023-11-04 13:40:08
To: ondra.losi2@gmail.com | Status: OK | send In: 0.78 s | 2023-11-04 13:40:09
To: ondra.losi2@gmail.com | Status: OK | send In: 0.83 s | 2023-11-04 13:40:10
To: ondra.losi@gmail.com | Status: OK | send In: 0.87 s | 2023-11-04 13:41:29
To: ondra.losi@gmail.com | Status: OK | send In: 0.93 s | 2023-11-04 13:41:29
To: ondra.losi@gmail.com | Status: OK | send In: 0.85 s | 2023-11-04 13:41:30
To: ondra.losi@gmail.com | Status: OK | send In: 0.91 s | 2023-11-04 13:41:31
To: ondra.losi@gmail.com | Status: OK | send In: 1.27 s | 2023-11-04 13:41:32
To: ondra.losi@gmail.com | Status: OK | send In: 0.92 s | 2023-11-04 13:41:33
To: ondra.losi@gmail.com | Status: OK | send In: 0.95 s | 2023-11-04 13:41:34
To: ondra.losi@gmail.com | Status: OK | send In: 0.79 s | 2023-11-04 13:41:35
To: ondra.losi@gmail.com | Status: OK | send In: 1.12 s | 2023-11-04 13:41:36
To: ondra.losi@gmail.com | Status: OK | send In: 0.92 s | 2023-11-04 13:41:37
To: ondra.losi@gmail.com | Status: OK | send In: 1.04 s | 2023-11-04 13:41:38
To: ondra.losi@gmail.com | Status: OK | send In: 0.84 s | 2023-11-04 13:41:39
To: ondra.losi@gmail.com | Status: OK | send In: 0.98 s | 2023-11-04 13:41:40
To: ondra.losi@gmail.com | Status: OK | send In: 2.05 s | 2023-11-04 13:41:42
To: ondra.losi@gmail.com | Status: OK | send In: 0.83 s | 2023-11-04 13:41:43
To: ondra.losi@gmail.com | Status: OK | send In: 0.88 s | 2023-11-04 13:41:44
To: ondra.losi@gmail.com | Status: OK | send In: 1.04 s | 2023-11-04 13:41:45
To: ondra.losi@gmail.com | Status: OK | send In: 0.83 s | 2023-11-04 13:41:46
To: ondra.losi@gmail.com | Status: OK | send In: 0.74 s | 2023-11-04 13:41:46
To: ondra.losi@gmail.com | Status: OK | send In: 0.94 s | 2023-11-04 13:41:47
